date,BL15,trend,season,resid
2016/12/27,98039,106679.6734,-8377.898645,-262.774768
2016/12/28,102427,105894.8394,-7121.98173,3654.142373
2016/12/29,104007,104877.8819,-2309.277973,1438.396089
2016/12/30,119347,103699.8459,14104.20603,1542.948042
2016/12/31,138338,102368.1154,18130.56948,17839.31512
2017/1/1,94861,100949.0599,-5632.921061,-455.138882
2017/1/2,87323,99434.84831,-10127.80035,-1984.047955
2017/1/3,90299,98046.41322,-7567.107137,-180.3060813
2017/1/4,90541,97589.8002,-6351.153057,-697.6471388
2017/1/5,93629,97606.76409,-1847.252653,-2130.511441
2017/1/6,105388,97650.74526,14068.39085,-6331.136106
2017/1/7,103801,97718.19706,16006.05293,-9923.249986
2017/1/8,81786,97894.54304,-5167.750103,-10940.79294
2017/1/9,88266,98164.98333,-9746.455671,-152.5276606
2017/1/10,91749,98558.22866,-6880.672107,71.44345065
2017/1/11,93305,99211.19932,-5670.568035,-235.6312803
2017/1/12,98284,100109.9948,-560.0318211,-1265.963011
2017/1/13,114414,101137.4949,13605.41001,-328.904954
2017/1/14,114729,102223.8863,12593.97383,-88.86011907
2017/1/15,93113,103280.1766,-4927.397466,-5239.779128
2017/1/16,95835,104252.7801,-8273.527652,-144.2524891
2017/1/17,98990,105156.8412,-6963.423533,796.5823266
2017/1/18,101505,106012.6987,-5940.869794,1433.171095
2017/1/19,110658,106745.599,737.4423787,3174.958599
2017/1/20,120000,107211.2893,12704.38513,84.32552986
2017/1/21,119106,107268.2463,11435.31942,402.4342699
2017/1/22,102633,107103.374,-4555.544503,85.17051045
2017/1/23,110084,106813.4649,-6082.172859,9352.707913
2017/1/24,114549,106467.8623,-7633.764075,15714.9018
2017/1/25,114951,105772.4411,-6896.090128,16074.64908
2017/1/26,107823,104419.5677,2063.118389,1340.313908
2017/1/27,41491,103393.7022,12472.10559,-74374.80776
2017/1/28,68953,102626.2559,10655.53789,-44328.79383
2017/1/29,69057,101425.2093,-5560.255369,-26807.95398
2017/1/30,85832,100077.7233,-4589.907703,-9655.815602
2017/1/31,90161,98701.6238,-8592.312938,51.68913522
2017/2/1,88998,97429.49561,-6784.028087,-1647.467518
2017/2/2,98856,97107.41645,2181.057857,-432.4743039
2017/2/3,108869,97270.43072,12303.72678,-705.1575046
2017/2/4,106392,97746.03036,9953.876647,-1307.907012
2017/2/5,85933,98351.56361,-6462.336538,-5956.227068
2017/2/6,97410,98874.73083,-1725.395818,260.6649852
2017/2/7,101239,99367.58382,-7805.426622,9676.842804
2017/2/8,102439,99890.19551,-6676.191843,9224.996333
2017/2/9,103043,100446.1875,1025.291786,1571.52074
2017/2/10,114267,100883.3471,12737.26429,646.3885904
2017/2/11,111779,101022.3237,10584.05627,172.620034
2017/2/12,93249,100921.4278,-7631.673156,-40.75462453
2017/2/13,95586,100673.5403,-4956.238839,-131.3014786
2017/2/14,102350,100451.1455,-6669.026131,8567.880677
2017/2/15,95648,100164.5102,-5044.747797,528.2376211
2017/2/16,98993,99825.81744,-92.26204666,-740.5553946
2017/2/17,107023,99491.76019,13358.71008,-5827.470275
2017/2/18,115113,99128.40938,11828.3554,4156.235222
2017/2/19,93462,98714.67849,-7168.579115,1915.900623
2017/2/20,89796,98247.54147,-6787.923257,-1663.618213
2017/2/21,92012,97736.31435,-5922.129525,197.8151786
2017/2/22,93895,97091.55936,-4916.571214,1720.011851
2017/2/23,94924,96300.20797,-1114.410368,-261.7976062
2017/2/24,109091,95464.55736,13780.30207,-153.8594369
2017/2/25,107600,94609.10264,12994.94451,-4.047151983
2017/2/26,97045,93794.10585,-7983.640296,11234.53445
2017/2/27,100284,93181.73837,-7731.782957,14834.04459
2017/2/28,87597,92804.83609,-4798.474957,-409.3611305
2017/3/1,85042,92559.09724,-5022.227797,-2494.869443
2017/3/2,89122,92373.51554,-1307.151258,-1944.364284
2017/3/3,101289,92503.72698,13790.71248,-5005.439459
2017/3/4,106435,93134.50967,13937.76217,-637.2718377
2017/3/5,84142,93937.49905,-8861.192076,-934.3069767
2017/3/6,86347,94750.99675,-8233.633299,-170.3634538
2017/3/7,93075,95594.0573,-4428.391824,1909.334526
2017/3/8,99150,96385.06834,-5081.07,7846.001663
2017/3/9,97023,97048.04231,-1093.139567,1068.097257
2017/3/10,112081,97605.50728,13591.18696,884.3057579
2017/3/11,113464,98014.66781,14879.93453,569.3976681
2017/3/12,88325,98166.78403,-9748.535828,-93.24820279
2017/3/13,90587,98074.05442,-8603.524269,1116.469846
2017/3/14,93132,97885.15949,-4498.05797,-255.1015197
2017/3/15,93183,97692.95702,-4987.127291,477.1702735
2017/3/16,96655,97559.264,-909.2874949,5.023493865
2017/3/17,109237,97522.84622,13281.75158,-1567.597807
2017/3/18,112904,97601.05674,15964.4354,-661.4921418
2017/3/19,87608,97809.43634,-9500.0649,-701.3714371
2017/3/20,87494,98163.15001,-8806.010994,-1863.139013
2017/3/21,93715,98616.5316,-5203.933455,302.401852
2017/3/22,94775,99044.21598,-4151.920823,-117.2951528
2017/3/23,99091,99343.7307,-1067.067522,814.3368218
2017/3/24,114035,99499.51639,12648.05831,1887.425305
2017/3/25,117382,99512.43316,15654.29421,2215.272622
2017/3/26,92026,99379.71524,-9348.078123,1994.362885
2017/3/27,90154,99092.40757,-8507.124223,-431.2833424
2017/3/28,92731,98659.42187,-5455.885925,-472.5359475
2017/3/29,94847,98155.56531,-3519.620893,211.0555793
2017/3/30,95432,97662.96139,-1201.263693,-1029.6977
2017/3/31,109107,97260.63589,12291.29984,-444.9357227
2017/4/1,98923,96929.99567,15319.97856,-13326.97423
2017/4/2,87008,96557.50993,-9191.369172,-358.1407593
2017/4/3,89547,96153.67327,-8040.147147,1433.473877
2017/4/4,74534,95807.05922,-5630.464752,-15642.59446
2017/4/5,87779,95549.65236,-3194.387999,-4576.264362
2017/4/6,94224,95322.21356,-1363.121783,264.9082201
2017/4/7,106354,95115.86978,12188.36305,-950.2328315
2017/4/8,108056,94946.10013,14927.43472,-1817.534852
2017/4/9,85142,94913.46915,-9073.85984,-697.6093068
2017/4/10,87684,95032.72961,-7777.867756,429.1381438
2017/4/11,89887,95146.50514,-5772.458047,512.9529062
2017/4/12,93237,95220.20875,-3227.549526,1244.340771
2017/4/13,94364,95254.35613,-1235.124281,344.7681523
2017/4/14,107446,95198.47587,12351.70544,-104.1813061
2017/4/15,110494,95040.61338,14522.72329,930.6633248
